Lesson 1
suggest;[sə'ʤest];предлагать, советовать;
statue;['stæʧuː];изваяние, статуя;
boast;[bəust];хвастовство, предмет гордости;
grasp;[grɑːsp];схватывание, крепкое сжатие;
spinach;['spɪnɪʧ];шпинат, чепуха, ерунда;
brisk;[brɪsk];живой, оживлённый, проворный;
skunk;[skʌŋk];вонючка, скунс, мех скунса;
arrest;[ə'rest];арестовывать, задерживать;
style;[staɪl];стиль, слог, манера;
crisp;[krɪsp];рассыпчатый, хрустящий;
task;[tɑːsk];урочная работа, задача;
risk;[rɪsk];опасность, угроза, риск;
skinny;['skɪnɪ];худой, тощий, кожа да кости;
adjust;[ə'ʤʌst];приводить в порядок, улаживать;
skeleton;['skelɪt(ə)n];скелет, худоба, мощи, костяк;
screen;[skriːn];ширма, щит, экран;
batteries;['bætərɪ];battery: батарея, дивизион;
Lesson 2
cowboys;['kaubɔɪz];мн. ч. от cowboy;
passes;[pɑːsɪz];мн. ч. от pass;
kisses;[kɪsɪz];мн. ч. от kiss;
grades;[greɪds];мн. ч. от grade;
dresses;[dresɪz];мн. ч. от dress;
companies;['kʌmpənɪz];мн. ч. от company;
donkeys;['dɔŋkɪz];мн. ч. от donkey;
bushes;[buʃɪz];мн. ч. от bush;
missiles;['mɪsaɪlz];мн. ч. от missile;
costumes;['kɔstjuːmz];мн. ч. от costume;
matches;[mæʧɪz];мн. ч. от match;
mornings;['mɔːnɪŋz];по утрам;
speeches;[spiːʧɪz];мн. ч. от speech;
centuries;['senʧ(ə)rɪz];мн. ч. от century;
months;[mʌnθs];мн. ч. от month;
pictures;['pɪkʧəz];мн. ч. от picture;
cuter;[kjuːtə];милее, привлекательнее;
Lesson 3
exciting;[ɪk'saɪtɪŋ];возбуждающий, волнующий;
biggest;[bɪgəst];самый большой;
amused;[ə'mjuːzd];прош. вр. от amuse;
excited;[ɪk'saɪtɪd];взволнованный, возбуждённый;
wrapped;[ræpt];завернутый;
easiest;['iːzɪəst];самый лёгкий;
amusing;[ə'mjuːzɪŋ];забавный, занимательный;
easier;['iːzɪə];лёгче;
cutest;[kjuːtəst];самый привлекательный;
bigger;['bɪgə];больший;
wrapping;['ræpɪŋ];заворачивать, оборачивать;
judge;['ʤʌʤ];судья;
Lesson 4
accuse;[ə'kjuːz];винить, обвинять, упрекать;
junior;['ʤuːnɪə(r)];младший, молодой;
chorus;['kɔːrəs];хор, певческий коллектив;
accurate;['ækjərət];верный, правильный, точный;
occasion;[ə'keɪʒ(ə)n];возможность, случай, шанс;
legend;['leʤənd];легенда, выдающаяся личность;
