Lesson 1
ecclesiastic;[ɪˌkliːzɪ'æstɪk];духовное лицо;
accurately;['ækjərətlɪ];точно, безошибочно, аккуратно;
accosted;[ə'kɔst];<a class="ajax ajax-full" href="/accost/en-ru/#lingvo/">accost</a>: приставать;
zucchini;[zu'kiːnɪ];молодой кабачок;
succotash;['sʌkətæʃ];суккоташ, блюдо из молодой…;
impeccable;[ɪm'pekəbl];безгрешный, непорочный;
accord;[ə'kɔːd];согласие, единство;
acclimate;[ə'klaɪmeɪt];<a class="ajax ajax-full" href="/acclimatize/en-ru/#lingvo/">acclimatize</a>: акклиматизировать;
eccentric;[ɪk'sentrɪk];эксцентричный, необычный;
occasionally;[ə'keɪʒ(ə)n(ə)lɪ];иногда, изредка;
accusations;[ˌækju'zeɪʃ(ə)n];<a class="ajax ajax-full" href="/accusation/en-ru/#lingvo/">accusation</a>: обвинение, обвинительное…;
vaccinate;['væksɪneɪt];<a class="ajax ajax-full" href="/vaccinate/en-ru/#lingvo/">vaccinate</a>: применять вакцину;
successor;[sək'sesə];преемник, наследник;
succulent;['sʌkjələnt];сочный, мясистый, суккулент;
accolade;['ækəleɪd];похвала, хороший отзыв;
symposium;[sɪm'pəuzɪəm];<a class="ajax ajax-full" href="/symposium/en-ru/#lingvo/">symposium</a>: симпозиум, совещание по…;
Lesson 2
systematic;[ˌsɪstə'mætɪk((ə)l)];систематический, систематичный;
synonym;['sɪnənɪm];синоним, олицетворение;
synchronize;['sɪŋkrənaɪz];синхронизировать;
synagogue;['sɪnəgɔg];синагога;
syndicate;['sɪndɪkət];синдикат, консорциум;
synthesis;['sɪnθəsɪs];<a class="ajax ajax-full" href="/synthesis/en-ru/#lingvo/">synthesis</a>: синтез, обобщение;
symmetrical;[sɪ'metrɪk(ə)l];<a class="ajax ajax-full" href="/symmetric/en-ru/#lingvo/">symmetric</a>: симметрический, симметричный;
symbiosis;[ˌsɪmbaɪ'əusɪs];симбиоз;
synthetic;[sɪn'θetɪk];искусственный, синтетический;
sympathized;['sɪmpəθaɪz];<a class="ajax ajax-full" href="/sympathize/en-ru/#lingvo/">sympathize</a>: сочувствовать, выражать…;
synopsis;[sɪ'nɔpsɪs];конспект, краткий обзор;
symbolism;['sɪmb(ə)lɪz(ə)m];символизм, символичность;
symbolic;[sɪm'bɔlɪk((ə)l)];символический;
synonymous;[sɪ'nɔnɪməs];синонимический, синонимичный;
syncopation;[ˌsɪŋkə'peɪʃ(ə)n];синкопа;
syndrome;['sɪndrəum];синдром, совокупность…;
responsibility;[rɪˌspɔn(t)sə'bɪlətɪ];ответственность, подотчётность;
Lesson 3
Republican;[rɪ'pʌblɪkən];республиканский;
references;;ссылки;
repulse;[rɪ'pʌls];<a class="ajax ajax-full" href="/repulse/en-ru/#lingvo/">repulse</a>: отражать, отбивать;
raucously;['rɔːkəs];<a class="ajax ajax-full" href="/raucous/en-ru/#lingvo/">raucous</a>: хриплый, охрипший, сиплый;
revive;[rɪ'vaɪv];<a class="ajax ajax-full" href="/revive/en-ru/#lingvo/">revive</a>: оживать, приходить в себя;
relevant;['reləvənt];<a class="ajax ajax-full" href="/relevant/en-ru/#lingvo/">relevant</a>: релевантный, значимый;
regretting;[rɪ'gret];<a class="ajax ajax-full" href="/regret/en-ru/#lingvo/">regret</a>: сожаление, огорчение;
recently;['riːs(ə)ntlɪ];недавно, на днях;
reflection;[rɪ'flekʃ(ə)n];отражение, образ, размышление;
raze;[reɪz];разрушать до основания;
redundancy;[rɪ'dʌndən(t)sɪ];чрезмерность, избыточность;
rhubarb;['ruːbɑːb];ревень, жаркий спор;
requirements;;испрашиваемые средства;
recommending;[ˌrekə'mend];<a class="ajax ajax-full" href="/recommend/en-ru/#lingvo/">recommend</a>: рекомендовать, советовать;
disoblige;[ˌdɪsə'blaɪʤ];обижать, задевать, досаждать;
Lesson 4
disparaged;[dɪ'spærɪʤd];униженный, оскорблённый;
discernible;[dɪ'sɜːnəbl];видимый, различимый, видный;
disgruntled;[dɪs'grʌntld];раздражённый, рассерженный;
disingenuous;[ˌdɪsɪn'ʤenjuəs];неискренний, лицемерный;
distribution;[ˌdɪstrɪ'bjuːʃ(ə)n];распределение, раздача;
discrepancy;[dɪs'krep(ə)n(t)sɪ];разница, различие, несходство;
dissociate;[dɪ'səuʃɪeɪt];<a class="ajax ajax-full" href="/dissociate/en-ru/#lingvo/">dissociate</a>: разъединять, отделять;
disposition;[ˌdɪspə'zɪʃ(ə)n];расположение, размещение в…;
disapproval;[ˌdɪsə'pruːv(ə)l];неодобрение, осуждение;
distress;[dɪ'stres];<a class="ajax ajax-full" href="/distress/en-ru/#lingvo/">distress</a>: физическая боль, недомогание;
disparity;[dɪs'pærətɪ];неравенство, несоответствие;
disparage;[dɪ'spærɪʤ];унижать достоинство, принижать;
discontinues;[ˌdɪskən'tɪnjuː];<a class="ajax ajax-full" href="/discontinue/en-ru/#lingvo/">discontinue</a>: прекращать, останавливать;
disappeared;[ˌdɪsə'pɪə];<a class="ajax ajax-full" href="/disappear/en-ru/#lingvo/">disappear</a>: исчезать, пропадать, теряться;
undecipherable;[ˌʌndɪ'saɪf(ə)rəbl];с трудом поддающийся…;
Lesson 5
inexplicable;[ˌɪnɪk'splɪkəbl];необъяснимый, неизъяснимый;
indefatigable;[ˌɪndɪ'fætɪgəbl];неутомимый, упорный;
noticeable;['nəutɪsəbl];достойный внимания, видный;
irrevocable;[ɪ'revəkəbl];<a class="ajax ajax-full" href="/irrevocable/en-ru/#lingvo/">irrevocable</a>: неотменяемый, бесповоротный;
inconsolable;[ˌɪnkən'səuləbl];безутешный, неутешный;
innumerable;[ɪ'njuːm(ə)rəbl];<a class="ajax ajax-full" href="/innumerable/en-ru/#lingvo/">innumerable</a>: бессчётный, бесчисленный;
passable;['pɑːsəbl];<a class="ajax ajax-full" href="/passable/en-ru/#lingvo/">passable</a>: проходимый, проезжий;
irreconcilable;[ˌɪrek(ə)n'saɪləbl];непримиримый, несовместимый;
laudable;['lɔːdəbl];похвальный, достойный похвалы;
implacable;[ɪm'plækəbl];неумолимый, непреклонный;
despicable;[dɪ'spɪkəbl];презренный, жалкий;
syllables;['sɪləbl];<a class="ajax ajax-full" href="/syllable/en-ru/#lingvo/">syllable</a>: слог, звук, слово, часть;
paraphrasable;;;
justifiable;['ʤʌstɪfaɪəbl];извинительный, заслуживающий…;
compel;[kəm'pel];заставлять, вынуждать;
Lesson 6
consider;[kən'sɪdə];рассматривать, обсуждать;
consequences;;<a class="ajax ajax-full" href="/consequence/en-ru/#lingvo/">consequence</a>: следствие, результат;
convene;[kən'viːn];созывать, собирать, собираться;
conception;[kən'sepʃ(ə)n];осмысление, понимание;
cordially;['kɔːdɪəlɪ];сердечно, искренне, радушно;
colleague;['kɔliːg];коллега, сослуживец;
conceived;[kən'siːv];<a class="ajax ajax-full" href="/conceive/en-ru/#lingvo/">conceive</a>: постигать, понимать;
commissioner;[kə'mɪʃ(ə)nə];уполномоченный, комиссар;
commerce;['kɔmɜːs];(оптовая) торговля, коммерция;
cocoon;[kə'kuːn];кокон, защитное покрытие;
commuter;[kə'mjuːtə];<a class="ajax ajax-full" href="/commuter/en-ru/#lingvo/">commuter</a>: пассажир, регулярно…;
convenience;[kən'viːnɪən(t)s];удобство, удобства, комфорт;
conceive;[kən'siːv];постигать, понимать;
competent;['kɔmpɪt(ə)nt];<a class="ajax ajax-full" href="/competent/en-ru/#lingvo/">competent</a>: осведомлённый, сведущий;
potential;[pə'tenʃ(ə)l];возможности, потенциал;
Lesson 7
introduction;[ˌɪntrə'dʌkʃ(ə)n];введение, вступление;
centripetal;[sen'trɪpɪt(ə)l];центростремительный;
intentions;[ɪn'tenʃ(ə)n];<a class="ajax ajax-full" href="/intention/en-ru/#lingvo/">intention</a>: намерение, стремление, цель;
arrangement;[ə'reɪnʤmənt];приведение в порядок;
mentioned;;приведённый, указанный;
frequently;['friːkwəntlɪ];часто;
insistent;[ɪn'sɪst(ə)nt];<a class="ajax ajax-full" href="/insistent/en-ru/#lingvo/">insistent</a>: настойчивый, настоятельный;
enthusiastic;[ɪnˌθjuːzɪ'æstɪk];восторженный, полный…;
sufficiently;[sə'fɪʃ(ə)ntlɪ];достаточно, в достаточной мере;
sentiment;['sentɪmənt];чувство, сентиментальность;
establishment;[ɪs'tæblɪʃmənt];создание, образование;
achievement;[ə'ʧiːvmənt];достижение, успех, выполнение;
acknowledgment;[ək'nɔlɪʤmənt];признание, подтверждение;
deferential;[ˌdef(ə)'ren(t)ʃ(ə)l];почтительный, выказывающий…;
transient;['trænzɪənt];кратковременный, мимолётный;
expectation;[ˌekspek'teɪʃ(ə)n];ожидание, ожидаемый результат;
Lesson 8
extraterrestrial;[ˌekstrətə'restrɪəl];внеземной, инопланетянин;
expulsion;[ɪk'spʌlʃ(ə)n];<a class="ajax ajax-full" href="/expulsion/en-ru/#lingvo/">expulsion</a>: увольнение, исключение;
efficiency;[ɪ'fɪʃ(ə)n(t)sɪ];эффективность;
excessive;[ɪk'sesɪv];<a class="ajax ajax-full" href="/excessive/en-ru/#lingvo/">excessive</a>: непомерный, чрезвычайный;
equilibrium;[ˌiːkwɪ'lɪbrɪəm];равновесие, баланс;
erroneous;[ɪ'rəunɪəs];ложный, неверный, неправильный;
epic;['epɪk];эпос, эпическая поэма, эпопея;
esteem;[ɪs'tiːm];пиетет, почтение, уважение;
extravagant;[ɪkˌstrævəgənt];неэкономный, расточительный;
editorial;[ˌedɪ'tɔːrɪəl];<a class="ajax ajax-full" href="/editorial/en-ru/#lingvo/">editorial</a>: редакторский, редакционный;
exercises;['eksəsaɪz];<a class="ajax ajax-full" href="/exercise/en-ru/#lingvo/">exercise</a>: осуществление, применение;
exhibition;[ˌeksɪ'bɪʃ(ə)n];выставка, показ, проявление;
embroidery;[ɪm'brɔɪd(ə)rɪ];вышивание, вышивка;
equipped;;оборудованный, оснащённый;
calamity;[kə'læmətɪ];беда, бедствие, катастрофа;
Lesson 9
capacity;[kə'pæsətɪ];вместимость, ёмкость, объём;
notoriety;[ˌnəut(ə)'raɪətɪ];дурная слава, известность;
propensity;[prə'pen(t)sətɪ];склонность, предрасположение;
necessity;[nə'sesətɪ];необходимость, настоятельная…;
haughty;['hɔːtɪ];высокомерный, заносчивый;
extremity;[ɪk'stremətɪ];конец, край, конечность;
posterity;[pɔs'terətɪ];потомство, последующие…;
vicinity;[vɪ'sɪnətɪ];близость, соседство;
integrity;[ɪn'tegrətɪ];прямота, честность, чистота;
affability;[ˌæfə'bɪlətɪ];приветливость, учтивость;
velocity;[vɪ'lɔsətɪ];скорость, быстрота;
possibility;[ˌpɔsə'bɪlətɪ];вероятность, возможность;
locality;[ləu'kælətɪ];местность, район, участок;
paucity;['pɔːsətɪ];малочисленность;
indignity;[ɪn'dɪgnətɪ];пренебрежение, презрение;
probability;[ˌprɔbə'bɪlətɪ];возможное, осуществимое;
interrupted;;прерывистый, прерванный;
Lesson 10
intimate;['ɪntɪmət];<a class="ajax ajax-full" href="/intimate/en-ru/#lingvo/">intimate</a>: близкий друг, наперсник;
inapt;[ɪn'æpt];негодный, неподходящий;
invoices;['ɪnvɔɪs];<a class="ajax ajax-full" href="/invoice/en-ru/#lingvo/">invoice</a>: счёт, фактура, счёт-фактура;
insecticide;[ɪn'sektɪsaɪd];инсектицид, средство от…;
invoiced;['ɪnvɔɪs];<a class="ajax ajax-full" href="/invoice/en-ru/#lingvo/">invoice</a>: счёт, фактура, счёт-фактура;
intellectual;[ˌɪnt(ə)'lekʧuəl];мыслительный, умственный;
inconvenience;[ˌɪnkən'viːnɪən(t)s];беспокойство, неудобство;
inauguration;[ɪˌnɔːgjə'reɪʃ(ə)nˌ ɪˌnɔːgju'reɪʃ(ə)n];торжественное открытие;
interrogative;[ˌɪntə'rɔgətɪv];<a class="ajax ajax-full" href="/interrogative/en-ru/#lingvo/">interrogative</a>: вопросительный, вопрошающий;
inquiries;[ɪn'kwaɪərɪ];<a class="ajax ajax-full" href="/inquiry/en-ru/#lingvo/">inquiry</a>: вопрос, запрос, расспрашивание;
industrial;[ɪn'dʌstrɪəl];индустриальный, промышленный;
inhabitant;[ɪn'hæbɪt(ə)nt];<a class="ajax ajax-full" href="/inhabitant/en-ru/#lingvo/">inhabitant</a>: житель, обитатель;
inept;[ɪ'nept];неподходящий, непригодный;
innocence;['ɪnəs(ə)n(t)s];невинность, чистота;
legitimate;[lɪ'ʤɪtəmət];законнорождённый;
Lesson 11
perpetuate;[pə'peʧueɪt];<a class="ajax ajax-full" href="/perpetuate/en-ru/#lingvo/">perpetuate</a>: увековечивать, сохранять…;
elucidate;[ɪ'l(j)uːsɪdeɪt];<a class="ajax ajax-full" href="/elucidate/en-ru/#lingvo/">elucidate</a>: объяснять, разъяснять;
anticipate;[æn'tɪsɪpeɪt];<a class="ajax ajax-full" href="/anticipate/en-ru/#lingvo/">anticipate</a>: ожидать, предвидеть;
desolate;['des(ə)lət];<a class="ajax ajax-full" href="/desolate/en-ru/#lingvo/">desolate</a>: одинокий, оставленный всеми;
approximate;[ə'prɔksɪmət];<a class="ajax ajax-full" href="/approximate/en-ru/#lingvo/">approximate</a>: лежащий рядом, близкий;
certificate;[sə'tɪfɪkət];<a class="ajax ajax-full" href="/certificate/en-ru/#lingvo/">certificate</a>: документ, свидетельство;
stagnate;[stæg'neɪt];<a class="ajax ajax-full" href="/stagnate/en-ru/#lingvo/">stagnate</a>: застаиваться, становиться…;
abbreviate;[ə'briːvɪeɪt];<a class="ajax ajax-full" href="/abbreviate/en-ru/#lingvo/">abbreviate</a>: сокращать, делать короче;
