Lesson 1
skyscraper;['skaɪˌskreɪpə];небоскрёб, многоэтажный дом;
square;[skweə];квадрат, прямоугольник;
threat;[θret];опасность, угроза;
squeal;[skwiːl];визг, вопль;
strike;[straɪk];ударять, наносить удар, бить, забастовка;
strange;[streɪnʤ];чужой, чуждый, незнакомый;
strength;[streŋθ];сила, достоинство;
scream;[skriːm];пронзительно кричать, вопить;
thrill;[θrɪl];возбуждение, глубокое волнение;
scrub;[skrʌb];мыть, скрести, оттирать;
scramble;['skræmbl];пробираться, свалка, драка;
throat;[θrəut];горло, гортань, глотка;
strawberry;['strɔːb(ə)rɪ];земляника, клубника;
street;[striːt];улица;
scratch;[skræʧ];царапать, скрести, оцарапать;
squeeze;[skwiːz];сжатие, прессование;
squirm;[skwɜːm];извиваться, изгибаться;
squirt;[skwɜːt];струя, шприц;
empty;['emptɪ];пустой, полый, порожний;
Lesson 2
beneath;[bɪ'niːθ];внизу, ниже, под;
disease;[dɪ'ziːz];болезнь, поражать;
metal;['met(ə)l];металл, металлический предмет;
feature;['fiːʧə];особенность, характерная черта;
queen;[kwiːn];королева;
deal;[diːl]; сделка, некоторое количество, распределять;
needed;[niːd];need: необходимость, надобность;
method;['meθəd];метод, способ, приём, средство;
spelling;['spelɪŋ];орфография, правописание;
east;[iːst];восток, ост, Восток;
feelings;['fiːlɪŋ];ощущение, чувство;
tea;[tiː];чай;
keeping;['kiːpɪŋ]; хранение, содержание;
agree;[ə'griː];соглашаться;
elevator;['elɪveɪtə];грузоподъёмник, лифт, элеватор;
coffee;['kɔfɪ];кофе;
television;['telɪvɪʒ(ə)n];телевидение, телевизор;
liquid;['lɪkwɪd];жидкость, жидкий;
Lesson 3
size;[saɪz];размер, величина, габариты;
fifty;['fɪftɪ];пятьдесят;
library;['laɪbr(ə)rɪ];библиотека;
divide;[dɪ'vaɪd];делить;
civil;['sɪv(ə)l];гражданский, штатский;
decide;[dɪ'saɪd];решать, принимать решение;
arrive;[ə'raɪv];прибывать, приезжать;
prize;[praɪz];награда, премия, приз, выигрыш;
blind;[blaɪnd];слепой;
drive;[draɪv];ездить, ехать, везти;
smile;[smaɪl];улыбка, благоволение;
wild;[waɪld];дикий, дикорастущий;
mine;[maɪn];мой, моя, моё;
husband;['hʌzbənd];муж, супруг;
Lesson 4
polish;['pɔlɪʃ];глянец, блеск;
operate;['ɔp(ə)reɪt];работать, действовать;
solid;['sɔlɪd];твёрдый, цельный;
upset;[ʌp'set];расстраивать, огорчать, опрокидывать, переворачивать;
tune;[t(j)uːn];настраивать, мелодия, напев;
June;[ʤuːn];июнь;
floating;['fləutɪŋ];плавающий, плавучий;
plume;[pluːm];перо, совокупность перьев;
plus;[plʌs];плюс, преимущество;
honor;['ɔnə];слава, почёт, честь, почтение;
smoke;[sməuk];дым, копоть, курение, папироса;
conflict;['kɔnflɪkt];конфликт, столкновение;
swallow;['swɔləu];глоток, глотание;
broke;[brəuk];безденежный, бедный, прош. вр. от break;
include;[ɪn'kluːd];заключать, включать в себя;
shoot;[ʃuːt];стрелять, охотиться;
Lesson 5
troop;[truːp];отряд, стадо;
coop;[kuːp];курятник, клетка для кур;
stoop;[stuːp];наклонять, нагибать;
roof;[ruːf];крыша, кровля, потолок;
routine;[ruː'tiːn];обычный порядок, рутина;
souvenir;[ˌsuːv(ə)'nɪə];сувенир, подарок на память;
raccoon;[rə'kuːn];енот, мех енота;
smooth;[smuːð];гладкий, ровный, скользкий;
fool;[fuːl];дурак, глупец, болван, шут;
boost;[buːst];повышение, рост, рекламирование;
broom;[bruːm];веник, метла;
mood;[muːd];настроение, расположение духа;
booth;[buːð];киоск, палатка, будка, кабина;
wounded;[ˈwuːndɪd];раненый;
loop;[luːp];петля, металлическое кольцо;
loose;[luːz];свободный, несвязанный, освобождать, отцеплять;
radar;['reɪdɑː];радиолокатор, радар;
Lesson 6
argument;['ɑːgjəmənt];довод, аргумент;
bark;[bɑːk];кора, хина, лай, дубить;
alarm;[ə'lɑːm];тревога, сигнал тревоги;
chart;[ʧɑːt];карта, график, диаграмма;
starved;[stɑːvd];умирающий от голода;
harder;[hɑːdə(r)];твёрже;
parked;[pɑːk];park: парк, сквер, национальный парк;
smartest;[smɑːt];smart: жгучая, сильная боль, горе;
charge;[ʧɑːʤ];заряжать, нагружать, загружать;
farther;['fɑːðə];отдалённый, удалённый;
harm;[hɑːm];вред, убыток, урон, ущерб;
hardware;['hɑːdweə];оборудование, аппаратура;
garbage;['gɑːbɪʤ];отбросы, остатки;
harsh;[hɑːʃ];жёсткий, твёрдый, грубый;
parts;[pɑːt];part: доля, часть, компонент;
carved;[kɑːvd];резной, вырезной;
harbor;['hɑːbə];гавань, порт, прибежище;
guard;[gɑːd];охрана, защита, караул, конвой;
pour;[pɔː];литься, идти, валить, лить;
Lesson 7
course;[kɔːs];курс, направление, течение;
border;['bɔːdə];граница;
portrait;['pɔːtrɪt];портрет, изображение, описание;
ignore;[ɪg'nɔː];игнорировать, пренебрегать;
anymore;[ˌenɪ'mɔː];больше не, уже не;
sore;[sɔː];болячка, рана, язва;
support;[sə'pɔːt];поддержка, помощь, основание;
sports;[spɔːts];спортивный;
yourself;[jɔː'self];себя, себе, собой, сам;
orbit;['ɔːbɪt];орбита, путь, плавный круг;
fourth;[fɔːθ];четвёртый, четверть;
source;[sɔːs];исток, верховье, источник;
forward;['fɔːwəd];передний, направленный вперёд;
force;[fɔːs];водопад, водный каскад, сила;
order;['ɔːdə];порядок;
wore;[wɔː];wear: носить, держать, иметь вид;
tornado;[tɔː'neɪdəu];смерч, торнадо, шквал;
software;['sɔftweə];программное обеспечение;
Lesson 8
despair;[dɪ'speə];отчаяние, упадок духа;
beware;[bɪ'weə];беречься, остерегаться;
prepared;[prɪ'peəd];готовый, подготовленный;
therefore;['ðeəfɔː];по этой причине;
